source_object,panel_group,purpose,validity4,vda1,vda2,vda4,vda9,vda16_historical,vda_excl,vda_probe_cued,vda_probe_uncued,vda_fixed1,vda_fixed2,vda_fixed4,vda_fixed9,vda_fixed16,scope_note
S1,S1,high-level recurrent circuit,available,available,available,available,available,available,available,available,available,available,available,available,available,available,"Required once per architecture family, not duplicated as independent empirical evidence per task."
S2,S2,patch-wise recurrent memory,available,available,available,available,available,available,available,available,available,available,available,available,available,available,"Required once per architecture family, not duplicated as independent empirical evidence per task."
S3,S3,immediate-input allocation before memory,available,available,available,available,available,available,available,available,available,available,available,available,available,available,"Required once per architecture family, not duplicated as independent empirical evidence per task."
S4,S4,memory feedback into allocation,available,available,available,available,available,available,available,available,available,available,available,available,available,available,"Required once per architecture family, not duplicated as independent empirical evidence per task."
S5,S5a,memory-token architecture,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,No matching admitted checkpoint family; VDA routing names must not be substituted for the MAH mechanism.
S5,S5b-e,memory-token behavior/allocation battery,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,"Becomes blocked, not available, only if this comparator family is formally admitted to scope."
S6,S6a,additive Q/K/V architecture,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,No matching admitted checkpoint family; VDA routing names must not be substituted for the MAH mechanism.
S6,S6b-e,additive Q/K/V behavior/allocation battery,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,"Becomes blocked, not available, only if this comparator family is formally admitted to scope."
S7,S7a,multiplicative Q/K/V architecture,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,No matching admitted checkpoint family; VDA routing names must not be substituted for the MAH mechanism.
S7,S7b-e,multiplicative Q/K/V behavior/allocation battery,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,"Becomes blocked, not available, only if this comparator family is formally admitted to scope."
S8,S8-all,"all-slot change-location decoding, natural/max allocation, t5/t6",available,undefined,blocked,partial,partial,blocked,undefined,available,available,undefined,blocked,blocked,blocked,training,Corrected held-out decoder required; class count adapts only where location decoding remains scientifically defined.
S9,S9-all,all-slot location decoding across four allocation conditions,blocked,undefined,blocked,partial,partial,blocked,undefined,blocked,blocked,undefined,blocked,blocked,blocked,training,
S10,S10-all,single-slot binary change decoding across allocation conditions,available,available,blocked,partial,partial,blocked,available,available,available,blocked,blocked,blocked,blocked,training,
S11,S11-location,actor-layer change-location decoding,available,undefined,blocked,partial,partial,blocked,undefined,available,available,undefined,blocked,blocked,blocked,training,Actor hidden-layer identity must be recorded explicitly.
S11,S11-binary,actor-layer binary change decoding,available,available,blocked,partial,partial,blocked,available,available,available,blocked,blocked,blocked,blocked,training,Actor hidden-layer identity must be recorded explicitly.
S12,S12-all,graded actor-layer binary decoding under S1 inhibition,available,available,blocked,partial,partial,blocked,available,available,available,blocked,blocked,blocked,blocked,training,
S13,S13-all,all-trial Wait/Declare logit scatter and density,available,available,available,available,partial,blocked,available,available,available,blocked,blocked,blocked,blocked,training,
S13,S13-S1,Wait/Declare logit scatter and density for S1 changes,available,available,available,available,partial,blocked,available,available,available,blocked,blocked,blocked,blocked,training,
S13,S13-S2,Wait/Declare logit scatter and density for S2 changes,available,undefined,available,available,partial,blocked,undefined,available,available,undefined,blocked,blocked,blocked,training,
S13,S13-S3,Wait/Declare logit scatter and density for S3 changes,available,undefined,undefined,available,partial,blocked,undefined,available,available,undefined,undefined,blocked,blocked,training,
S13,S13-S4,Wait/Declare logit scatter and density for S4 changes,available,undefined,undefined,available,partial,blocked,undefined,available,available,undefined,undefined,blocked,blocked,training,
S14,S14-natural,natural S1-change logit scatter/density,available,available,blocked,available,partial,blocked,available,available,available,blocked,blocked,blocked,blocked,training,
S14,S14-max,maximal S1 allocation logit scatter/density,available,available,blocked,available,partial,blocked,available,available,available,blocked,blocked,blocked,blocked,training,
S14,S14-zero,zero S1 allocation logit scatter/density,available,available,blocked,available,partial,blocked,available,available,available,blocked,blocked,blocked,blocked,training,
S15,S15A,TD error by cue/change location,inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S15,S15B,"TD error with target allocation clamp, low cue",inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S15,S15C,"TD error with target allocation clamp, high cue",inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S15,S15D,TD error by allocation dose and location,inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S15,S15E,"TD error under competing-location clamp, low cue",inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S15,S15F,"TD error under competing-location clamp, high cue",inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S15,S15G,value by change magnitude with target clamp,inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S15,S15H,value by opposing-location allocation dose,inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S15,S15I,hit rate by opposing-location allocation dose,inapplicable,undefined,available,available,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,Requires trial-level reward/value cache and exact TD convention.
S16,S16A,criterion vs allocation at change,inapplicable,undefined,available,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,The active image has A-F only; stale caption references to A-L are not treated as panels.
S16,S16B,criterion vs cue-time allocation with change-time control,inapplicable,undefined,available,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,The active image has A-F only; stale caption references to A-L are not treated as panels.
S16,S16C,criterion vs cue-time allocation,inapplicable,undefined,available,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,The active image has A-F only; stale caption references to A-L are not treated as panels.
S16,S16D,sensitivity vs allocation at change,inapplicable,undefined,available,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,The active image has A-F only; stale caption references to A-L are not treated as panels.
S16,S16E,sensitivity vs cue-time allocation with change-time control,inapplicable,undefined,available,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,The active image has A-F only; stale caption references to A-L are not treated as panels.
S16,S16F,sensitivity vs cue-time allocation,inapplicable,undefined,available,partial,partial,blocked,inapplicable,inapplicable,inapplicable,undefined,blocked,blocked,blocked,training,The active image has A-F only; stale caption references to A-L are not treated as panels.
S17,S17-action-behavior,three behavioral rows: supervised actions,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,Matched supervised checkpoint families are outside the admitted VDA environment scope.
S17,S17-belief-behavior,three behavioral rows: supervised beliefs,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,Matched supervised checkpoint families are outside the admitted VDA environment scope.
S17,S17-rl-behavior,three behavioral rows: reinforcement learning,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,Matched supervised checkpoint families are outside the admitted VDA environment scope.
S17,S17-action-allocation,allocation row: supervised actions,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,Matched supervised checkpoint families are outside the admitted VDA environment scope.
S17,S17-belief-allocation,allocation row: supervised beliefs,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,Matched supervised checkpoint families are outside the admitted VDA environment scope.
S17,S17-rl-allocation,allocation row: reinforcement learning,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,inapplicable,Matched supervised checkpoint families are outside the admitted VDA environment scope.
